Holstein handle,Bossy
"""___ Fall in Love,"" 1933 song ",lets
Honda Accord eg,sedan
Mighty missile,sam
"Get your kid brother on the naughty list, maybe",tattle
___ are two of my four limbs,an armandaleg
God's country.,usa
Defeated one's cry,uncle
Lured in,roped
'The Bachelor' airer,abc
Feeler. ,tentacle
Patient one's proverb,hastemakes waste
Women's place,harem
'Ditto',likewise
"Astonished, astounded",amazed
Peninsula northeast of Boston,Cape Ann
Elevenses serving,cuppa
Receive as a penalty,in cur
Exit quickly,flee
Short notice (wordplay),glimpse
Where Mt. Timpanogos is. ,Utah
It's part of our three this quarter,fourth
Rickie Fowler's org,PGA
They're drawn in bars,beers
Proof finisher,qed
Mexican hut,jacal
Protective casing for the head,helmet
March man.,sousa
Lease anew,relet
Tape. ,bind
Vaclav of Czechoslovakia,havel
Artificially-made compound,synthetic
Zone where development is banned (in theory),green belt
"Namely, in legalese",to wit
Football coach ran game badly,manager
Labels anew,renames
Will tar get to the middle for this (wordplay),bull
Early Chicago NFL champs,staleys
Word with May or pay,day
_ranklin D_l_no _oosevelt,fearless leader
"Persia, updated",Iran
Fan a this jerk in no moderate way,tic
Doesn't recognize,scorns
Defer to old Ottoman governor,obey
Lump of cast metal,in got
One tone of a solvent,ace
"""I don't buy that!""",get real
Low-lying lands,dales
Weight-loss op,lipo
Cheshire Cat feature,grin
Me drunk with a gin? It's puzzling!,enigma
Pledge from the faithful,tithe
Goldfinger singer knighted in 1993,Shirley Bassey
"Beer whose name means ""morning sun""",Asahi
Can East European dance round it (wordplay),maypole
"Tied, leap",bound
Part two of the quip,raise a family
"'The Dream' artist, 1931",Dali
Sphinx,enigma
Pale purple,xxxxx
Misanthropy. ,hatred
Saks ___ Avenue,fifth
Gateway City,St Louis
Plant lacking a woody stem,herb
Art medium brand name,Crayola
Kodak or Fuji competitor,agfa
Mother of Sir Galahad. ,Elaine
Chinese seaport ,amoy
Usher inside.,see in
A'ja Wilson's league,wnba
Words of assent.,ays
Play it by ___,ear
Formal defense of one's belief,apologia
They can be black or green(e),teas
Informal discussion. ,causerie
 . . . or ___!,else
Champagne ingredient,yeast
Valley Girl singer-songwriter,zappa
Fragments from exploded shell,shrapnel
Musical combo,Trio
River to the Mediterranean,nile
The ___ Family,addams
Jamaica export,rum
Unbelieving nature*,skepticism
Girl accepts military organisation has structure,anatomy
"Home of Goya's ""La Maja Desnuda""",El Prado
"___ Raffles, the founder of Singapore",stamford
Cry after a long week,TGIF
Pharmacy brand,Bayer
"""Wish Tree"" artist",ono
Word separators,spaces
Hero of a Tennyson poem.,Enoch
Load of colors,wash
English novelist,bronte
Set forth,start out
"___ Kaepernick, former N.F.L. QB",Colin
Unready monarch,Ethel Red
ET's fly them,UFOS
Rough bark,woof
Complimentary closing,as ever
"*'A jolly happy soul,' in a holiday song",frosty
"Water, on the Oise",eau
'Old Folks at Home' river,Swanee
Golf number,par
Smokey's setup,speed trap
French fantasy ,reve
tablissement dducation,Ecole
Ten-minute breaks.,breathers
Poker in the nose or ear (wordplay),stud
Going astray.,Errant
Energy saver,fluorescentbulb
In a languid manner,sleepily
Is still taken by those playing snooker,rests
Served alight,flambe
"Hastings ___, first president of Malawi",band a
Rustle.,stir
Hip-hop figures,mcs
"J. M. W. Turner's ""___ Banished From Rome""",Ovid
In touch with who one is,self aware
Send up one of those crafty types,launch
"Defended oneself, skunk-style",sprayed
Green fighter in prison (wordplay),hulk
Popular reds,merlots
Psion's Organizer was the first one,pda
It occurs at new and full moon,spring tide
"I understand, in walkie-talkie talk",copy
"Select, in a way",left click
"Edvard Munch painting (with ""The"")",scream
Contemporary of Raymond and Agatha,Erle
Music ___,sheets
Tilter's wear,armor
Crime solver's aid,dna
Material for trimming.,facing
Pipe ,brier
Note means to access estate for scoundrel,reprobate
Cut and paste,splice
Jib carriers,sloops
Introductory,initial
(The) pits,worst
Tendencies,drifts
"Certain bonds, securities, etc. ",percents
Middling Prefix ,neutro
Double quadri-,octo
Immersive puzzle events,hunts
Crossword puzzle features,grids
"""Popo"" author ",reeves
"Shrivel, as a dying flower",Wither
Lasting' tolerating,enduring
Spinnaker's cousin,jib
Shipper's abbreviation.,gro
Might Abe smear this with a bud (wordplay),bedaub
Hat stand (wordplay),head
Popular receptacle in Spring.,vase
Inside ___ Davis (2013 film),Llewyn
Arrest bully with French philosopher,sartre
Cultivate endless strawberries in France,raise
Timely singing lesson (wordplay),vocal exercise
Tree feller,axman
Makes a bridge faux pas. ,reneges
Some arts and crafts,pottery
Lab work,testing
Future moth,pupa
Like  probably,as not
Lou Gehrig or Cal Ripken,iron man
Fissure,crevice
'Property Virgins' cable channel,HGTV
Excessively ingratiating,unctuous
Dog that's getting stiff,setter
Aptly-named space opera comic book series,saga
24 grains abbreviation,pwt
"Fine attire for Betsy and us tailored (6,4)",Sunday Best
Sicilian wonder,etna
"""___, Apes and Peacocks."" ",ivory
"What one might lament on seeing a Starbucks abroad, for example",americanization
"""___ Hey nonny nonny . . . "" ",with a
Oats: Latin.,Avena
Tut-tut!,shame
On pins and needles,antsy
Building disconnected from the real world,ivory tower
It's known for helping hands,Joker
Frightening trance while awake,daymare
"Make a vow, perhaps",we d
Region not as high as other areas,low land
Hardly commonplace,unusual
Run relay in good time,early
Love commercial speech,adoration
Great Lakes shipping point.,to ledo
<DOWN>,decisively
"Literally ""I am unwilling""",no lo
Gists ,nubs
"The prince of the ""prince in a can"" joke",Albert
Colorado ski resort,winter park
Etoiles' neighbor,lune
"___ Dan, rock group",steely
C,clamp shape
'For shame!',fie
"Sleep, in British slang",KIP
Like a switch-hitter,ambidetrous
Egghead types,nerds
Severely hampered,hogtied
Make yourself scarce!,beat it
"Music, to a torero",Ole
Silent star with opera star,Naldi and Tebaldi
Fell? Allowed to stop without finishing,lethal
Roman gold coin,aureus
Tri-tip source,Sir Loin
Figurine from anc. Boeotia.,tanagra
"Query, part 4",entire kingdom had the
Unbounded.,infinite
"Made discouraged, being undated",daunted
Namibia neighbor abbreviation,rsa
Quantity of food for a meal. ,mess
Swings musically,jives
The ___ Four (nickname for the Beatles),fab
Ben-Gurion's state.,israel
Dominating prime equestrian activity (wordplay),best riding
Roach on the drums,Max
Unit of wound thread,skein
Model/actress Mendes,eva
Spelling expert (wordplay),sorceress
Pharmaceutical allotments,doses
"Short, unsexy jockeys bond",Nexus
"Said ""Not guilty,"" e.g",pled
In rich supply,plenteous
Fort Apache The Bronx actor,a sner
Fearsome Cdr could sort them out,armed forces
Mode of rule. ,regime
Sheik of ___.,araby
Call sometime!,give me a buzz
Image worship. ,idolism
It will look good to pass things around,hand some
"Kind of day, month or year",side real
Angel hair or bow-tie,pasta
Skipped wedding expenses,eloped
Ants en masse,army
Prompt provider,CUER
Fangorn Forest denizen,ent
Bad thing to hit,rock bottom
"Star of 2010's ""Gulliver's Travels""",Jack B
Shakespearean starter,all s
___ humor.,good
"Opening of ""Moby-D..."" (TL;D... wait, I think I got the whole thing!)",call meishmael
Vehicle with giant tires,Monster Truck
Tiny place ,islet
Gray area (abbreviation),a nat
"Olympics-canceling event, briefly",wwii
TV event,taping
Home territories,turfs
Danger signals. ,alarms
"Nickname of Fenway Park's left field wall, with 'the'",green monster
They usually lead to laughter,tummy ticklings
Stress-relief destination,spa
Bay Area rapper and label-founder Mac ___,dre
Central halls in Roman houses ,atria
Cause of pool problems ,algae
"With 54-Down, Best Supporting Actress nominee for 1945's ""Mildred Pierce""",Eve
Jeweled headpiece,tiara
Commercial come-on,priced below cost
Reason to call an auto mechanic,engine knock
Phonied up,staged
Social occasion with special performances,Gala
"A mile a minute, e.g",rate
Elder of the twin sons of Isaac and Rebecca,esau
Theres  in the bucket,a hole
Hair treatment from Barber in Seville,rinse
Slacker ground he'd ply with ease,sleepy head
One of a bug's pair,antenna
Element now called radon,niton
Opposite of uni-,multi
At the center of,a mid
Some Warped Tour attendees,punkers
Siren,allurer
Four-time Tony winner Gwen,Verdon
Austrian city where Mozart was born,salzburg
Cookie unit,batch
Serves onto a plate,dishes out
Swimmer in port alone,dover sole
"Red Sox star nicknamed ""Big Papi""",or tiz
Fiends of fantasy,ogres
Diplomatic measure or initiative,de marche
Seenitall feeling,ennui
Get hitched quick,elope
"Turn pale, in fear perhaps",Blanch
The Mamas and the ___,papas
___ zirconia,cubic
Briefly expressed,terse
Birthplace of H.S.T.,Lamar
Like a clear path,trod
Nazism's semantics and mullarkey ex-expert.,goebbels
Reception of visitors,at home
First name in a 2010s first family,malia
Smooth transitions,segues
Twinkie filling,creme
Like a dialect coach (wordplay),accent prone
Travel plan abbreviation,it in
Festival setup,tent
"CEOs, CFOs, et al.",mgmt
Hidden (talent),latent
Arenas in arenas,Gilbert
Brew barrel,keg
Some woodwork designs,in lays
Hair-raising site,nape
Laugh-In line,youbetyourbippy
Outcome of a sort,order
Rustic dwelling,a frame
Name of two constellations.,ursa
Tuptim's land. ,siam
Old Greek gymnasium (var.),Palestra
Address must. ,zip code
Provoke combat,pick a fight
Clean laundry that hasn't yet been ironed,dry wash
One of the Wylies.,elin or
Up-and-coming crappie (wordplay),rising sun
Grounds. ,area
Of the beginning,in choative
Ne plus ___ (highest point of perfection). ,ultra
"That doesn't leave much, to a certain degree",little go
Call for high flutes (wordplay),to ast
"Over, to Poe ",oer
___ down (soft-pedaled),toned
Computer felon,hacker
Vladimir's noes,nyets
"Family name associated with greed, power, lust and murder",BRG
Obligates by duty. ,binds
... ___ vales and hills: Wordsworth,oer
"Dr. Reid in 'Criminal Minds,' familiarly",spence
Ham or hip finish,ster
New York restaurateur with a Tony Award,sardi
Feather one's ___ ,nest
Reserve holding opener for lotion or ointment,salve
Channel for 29-Across,canal
Strange article describing invention,alien
Slang word for underwear,trolleys
Likely to believe,credulous
Question type ignoring a student's eloquence,rhetoric
Cousin of a crew cut. ,crop
Small back pouch on a belt,Bumbag
Certain pudding base,rice
Date in Neros reign,LVIII
N'awlins hero,Poboy
Shrubby pepper.,Kava
"Blinds, as a hawk",seels
Comparatively wet Prince,rainier
Good college for poets (wordplay),bard
Spare toothless so-and-so,thingummy
Instantly (but not here and now!),there and then
Interminable ride,slowboat to china
Halloween Parade singer Reed,lou
"Opposite of 57-Across, to Muslims",Halal
Commune in Holland. ,ede
"Hammett's portrayer in ""Julia""",Jason Robards
Crib cries,dad as
Object to being dismissed a second time (wordplay),resent
"Pope Francis, notably",jesuit
Ranis' wear,Saris
Being in favour of making an attack,going for
Place on display,show
Cycling race sent back home for start,origin
TV show chunk abbreviation,seg
Food stores. ,bakeries
Where Ashur was the supreme deity,as syria
Withdrawn,timid
Postconquest military tactic,Mopup
Winner,conquer or
God  Us Every One,bless
Spades at card game or reversed hat,Sombrero
Net ___,loss
Khan's country,Mongolia
Grecian goat cheese,feta
Blizzard heading abbreviation,e ne
Act ,feat
Cautious ,leery
Something to go on for naval officer - or not,com mode
Kayaker's safe haven,Eddy
Rank below gen.,col
Tufted-titmouse toppers,crests
Specialized committee,adhoc
Widespread faith,Islam
"Fault, in law",culpa
Robes or customs,habits
"Fox hit ""American ___""",Idol
Hercules? He's off to raise the dough,Lucre
One attempts run during row,trier
across>,nationwide
Deeply fix,embed
'Sideways' valley,napa
Hardens up,sets
Theater signs. ,exits
Entered by creeping sideways,edged in
Country that became a Union in 1910 and a Republic in 1961,south
"Evidence of corporate wrongdoing, often",paper trail
Arrest made by head of security in front of tent,stop
Friendly relationships. ,amities
Oriental variety of sea fowl,eastern
Run slowly.,dog trot
Might one get around the motor in a blower (wordplay),Ocarina
French Open champ Michael,chang
Top-selling,hottest
"Beatles' ""Polythene"" girl",Pam
Body that voted for the trial resulting in Charles I's execution,Rump Parliament
Like a knight wandering around seeking adventures,Errant
Hyped too much,over sold
Like a young Jay Gatsby,poor
Score for knocking down all the pins in two bowls. ,spare
Of an Old World tree,thymelaeaceous
"Catch, in a way",reel in
Does some kitchen prep,dices
___ Kelly (Jagger role),NED
"Stick around student, feeling miserable",glum
Of the lower intestine,ileac
Bullwinkle's hometown,Frostbite Falls
Freed ,released
'When do ___?' (hungry person's cry),we eat
Peter of films ,Lorre
Mad as a hornet. ,irate
River into the Severn.,USK
Gamblers use them,systems
Win in a romp,rout
Subway system loc.,STA
Doesn't trust,is onto
Passage.,way
Detective Wolfe of crime fiction,nero
Troubled. ,rueful
Kid's book about a monkey,curious george
Is indisposed to alter sail,ails
Party leader in charge of endlessly pleasant outing,picnic
Sound of explosion,Bang
Partners in crime,mafiosi
"Leads, as a band",fronts
Somewhat looped,tipsy
Ukrainian capital on the Dnieper. ,Kiev
"Shakespeare's ""Sadly . . .""",Alas
"Enforcement strength, so to speak",teeth
"An ""Argonaut.""",gold miner
Flying nocturnal insect,Owlet Moth
Comes down hard from the sky,sleets
Fiance punched in the stomach having lost head grabbing 3 and 7,intended
Like tremendously,dig
Chem room.,la b
... ___ forth: Matt. 24:26,Gonot
Brando film of 1954,on the waterfront
Hero's home,deli
Common riddle ending,what ami
British statesman,peel
Fickle lover having courage to wave,heartbreaker
Blair came to change what Parliament is (wordplay),bicameral
Boutique department,mens
"Feudin' with, say",a gin
Title of book by Albert Payson Terhune.,Lada Dog
"No, number Not a single sound",to ne
Ease. ,leisure
Something to live for,today
Neighborhood shops,delis
Land at the Colosseum,terra
Disney dog,Lady
Separate fool's gold with cerium,divorce
Loving star Negga,Ruth
Mild all the more,meeker
Old books in changed will (wordplay),new testament
Conundrum,riddle
Subway map indications,stops
Cockney's SOS. ,ELP
Shuts a store's doors,closes
That will get one in motion,travel
